
2024/09/24 (18:11:11) | ===> btop++ v.1.4.0
2024/09/24 (18:11:11) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/24 (20:30:53) | ===> btop++ v.1.4.0
2024/09/24 (20:30:53) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/09/24 (21:00:57) | ERROR: Stall in Runner thread, restarting!

2024/09/25 (23:04:30) | ===> btop++ v.1.4.0
2024/09/25 (23:04:30) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/09/25 (23:07:57) | ERROR: Stall in Runner thread, restarting!

2024/09/26 (00:18:44) | ===> btop++ v.1.4.0
2024/09/26 (00:18:44) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/09/26 (00:30:04) | ERROR: Stall in Runner thread, restarting!

2024/09/27 (00:41:11) | ===> btop++ v.1.4.0
2024/09/27 (00:41:11) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/09/27 (01:42:22) | ERROR: Stall in Runner thread, restarting!

2024/09/27 (08:40:37) | ===> btop++ v.1.4.0
2024/09/27 (08:40:37) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/09/27 (09:07:42) | ERROR: Stall in Runner thread, restarting!

2024/09/27 (12:21:22) | ===> btop++ v.1.4.0
2024/09/27 (12:21:22) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/09/27 (13:02:11) | ERROR: Stall in Runner thread, restarting!

2024/09/27 (22:00:02) | ===> btop++ v.1.4.0
2024/09/27 (22:00:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/27 (22:10:07) | ===> btop++ v.1.4.0
2024/09/27 (22:10:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/23 (01:48:17) | ===> btop++ v.1.4.0
2024/12/23 (01:48:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/24 (23:52:54) | ===> btop++ v.1.4.0
2024/12/24 (23:52:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/28 (03:15:25) | ===> btop++ v.1.4.0
2024/12/28 (03:15:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/28 (04:45:20) | ===> btop++ v.1.4.0
2024/12/28 (04:45:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/28 (20:31:26) | ===> btop++ v.1.4.0
2024/12/28 (20:31:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/28 (20:37:47) | ===> btop++ v.1.4.0
2024/12/28 (20:37:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/29 (18:52:55) | ===> btop++ v.1.4.0
2024/12/29 (18:52:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/29 (18:53:56) | ===> btop++ v.1.4.0
2024/12/29 (18:53:56) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/12/29 (18:55:03) | INFO: Logger set to INFO
2024/12/29 (18:55:04) | INFO: Logger set to DEBUG

2024/12/30 (04:32:38) | ===> btop++ v.1.4.0
2024/12/30 (04:32:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/30 (13:24:14) | ===> btop++ v.1.4.0
2024/12/30 (13:24:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/30 (13:36:25) | ===> btop++ v.1.4.0
2024/12/30 (13:36:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/09 (22:03:56) | ===> btop++ v.1.4.0
2025/01/09 (22:03:56) | INFO: Logger set to INFO
2025/01/09 (22:03:57) | INFO: Logger set to DEBUG
2025/01/09 (22:04:00) | INFO: Logger set to INFO
2025/01/09 (22:04:00) | INFO: Logger set to DEBUG
